area,brand,name,addr,filter,long,lat,density_2021,ave_pop_growth,2019_income,village_rent,rating,comment
NTC,cama,中和環球店,新北市中和區中山路三段99號,中和區民有里,121.475106,25.005868,29265.961638319044,-1.965812843830772,613038.0,,4.0,109.0
NTC,cama,中和立言店,新北市中和區中正路903之1號,中和區中原里,121.483748,25.005901,5714.260089981111,9.94952441688719,2230550.0,1333.0,4.2,67.0
NTC,cama,中和泰和店,新北市中和區泰和街39號1樓,中和區廟美里,121.499165,24.999538,47478.00279988096,-0.92370421302439,1151263.0,2518.0,4.4,78.0
NTC,cama,新店七張店,新北市新店區北新路二段218號,新店區新安里,121.543032,24.97708,43717.885099718726,-12.78577548272093,1655582.0,3906.0,4.0,204.0
NTC,cama,新店寶橋店,新北市新店區寶橋路214號,新店區寶福里,121.551109,24.978479,4596.579006497143,-0.1476553716328155,2811377.0,1859.0,4.4,205.0
NTC,cama,新店民權店,新北市新店區民權路96號1樓,新店區復興里,121.53662,24.983029,5239.354457744582,-1.462681377249305,941190.0,2691.0,3.7,158.0
NTC,cama,板橋三民店,新北市板橋區三民路二段67號,板橋區長壽里,121.47945,25.017021,30986.774137971293,-0.3686774816913226,759779.0,1222.0,4.4,114.0
NTC,cama,板橋三民店,新北市板橋區三民路二段67號1樓,板橋區長壽里,121.47945,25.017021,30986.774137971293,-0.3686774816913226,759779.0,1222.0,4.4,114.0
NTC,cama,板橋亞東店,新北市板橋區南雅南路二段21號Ｂ1,板橋區華東里,121.452312,24.997312,15641.54307170118,1.1417444778987949,3539135.0,3384.0,3.3,32.0
NTC,cama,板橋文化店,新北市板橋區文化路二段402號,板橋區松翠里,121.473828,25.031313,48279.56826494719,-0.5977789017175124,869008.0,2455.0,4.5,109.0
NTC,cama,板橋正隆店,新北市板橋區板新路一號,板橋區長安里,121.475555,25.012371,43958.14437349226,-0.855471869107971,1375222.0,2692.0,4.2,94.0
NTC,cama,永和中山店,新北市永和區中山路一段220號,永和區保安里,121.508225,25.008299,29497.069212002167,-1.52682080446076,3040572.0,2964.0,4.2,66.0
NTC,cama,永和耕莘店,新北市永和區中興街83號,永和區中興里,121.517269,25.011875,53764.53934816237,0.4081145857044295,1032258.0,1115.0,4.2,60.0
NTC,cama,永和耕莘店,新北市永和區中興街83號1樓,永和區中興里,121.517269,25.011875,53764.53934816237,0.4081145857044295,1032258.0,1115.0,4.2,60.0
NTC,cama,永和福和店,新北市永和區福和路271號,永和區福和里,121.517608,25.007345,55400.63125282097,-1.0579706325234937,2188245.0,1937.0,4.1,103.0
NTC,cama,汐止遠雄店,新北市汐止區新台五路一段99號B1,汐止區復興里,121.648248,25.06162,39070.83765716913,0.2423895026010628,3108012.0,1960.0,2.7,42.0
NTC,cama,淡水新市店,新北市淡水區中山北路二段201號,淡水區崁頂里,121.444003,25.185673,5179.330969260427,12.4154763814305,5025469.0,1392.0,4.2,243.0
NTC,cama,蘆洲長榮店,新北市蘆洲區長榮路201號,蘆洲區正義里,121.46095,25.084719,23458.84770713887,2.2529647208720123,5147118.0,1911.0,4.1,195.0
TPE,louisa,城中門市,台北市延平南路13號,中正區光復里,121.510881,25.046047,12649.652578401554,-0.5278111110776547,1658650.0,3334.0,3.7,174.0
TPE,louisa,民生創始門市,台北市民生東路三段130巷7弄1號,松山區松基里,121.546313,25.056664,21150.871349328656,-0.9991871032571265,2911446.0,3101.0,3.6,110.0
TPE,louisa,古亭門市,台北市南昌路二段115號,中正區板溪里,121.521719,25.026423,34871.137382449204,-1.7469275714852313,1389956.0,2276.0,3.8,186.0
TPE,louisa,永吉門市,台北市永吉路30巷27號,信義區敦厚里,121.568889,25.044796,46201.67226470378,-1.4881146218298578,2337411.0,4717.0,3.8,140.0
TPE,louisa,延平門市,台北市延平南路214號,中正區廈安里,121.507396,25.034524,59502.84601517826,-0.0163839097767256,1848441.0,2093.0,3.9,270.0
TPE,louisa,中山門市,台北市錦州街5號,中山區聚盛里,121.523898,25.060434,34908.6678348258,-0.6871739024225665,1584544.0,3521.0,3.5,894.0
TPE,louisa,忠孝門市,台北市忠孝東路三段217巷4弄2號,大安區昌隆里,121.539868,25.042748,23075.27595401212,-1.0366371282904594,1942707.0,2027.0,3.7,359.0
TPE,louisa,忠孝216門市,台北市忠孝東路四段216巷52號,大安區車層里,121.552853,25.038872,52235.02986114866,-1.1391250192385924,4043221.0,4856.0,3.7,359.0
TPE,louisa,民權門市,台北市松江路313巷22號之2,中山區松江里,121.534769,25.061702,33570.083333341936,-1.3080094299967668,2988501.0,1718.0,3.9,1230.0
TPE,louisa,台塑門市,台北市民生東路四段56巷3弄1號,松山區精忠里,121.551755,25.057182,2017.1525851305707,-0.2587678637916646,2562417.0,4141.0,4.0,129.0
TPE,louisa,忠孝新生門市,台北市臨沂街27巷9-4號,中正區幸市里,121.531428,25.041235,26122.24180970343,-2.3789097471844656,2834326.0,4967.0,3.3,159.0
TPE,louisa,南港門市,台北市三重路19-4號1樓,南港區三重里,121.613612,25.05685,7451.3328837748495,1.368015199290292,5225294.0,2335.0,3.5,270.0
TPE,louisa,松山門市,台北市松山路465巷29弄14號,信義區松光里,121.579292,25.040873,44306.03221211958,-1.4008870382433258,1907779.0,2312.0,3.7,251.0
TPE,louisa,敦北門市,台北市敦化北路244巷35號,松山區民有里,121.547666,25.061022,32173.69790922893,-1.48568348970007,5637140.0,3369.0,4.0,114.0
TPE,louisa,八德門市,台北市八德路二段287號,中山區朱崙里,121.541926,25.047194,23137.60128868763,0.447031917993194,1401459.0,2266.0,3.8,376.0
TPE,louisa,南京復興門市,台北市南京東路三段256巷20弄2號,松山區中正里,121.5448,25.050653,29466.572383481845,-1.142283607167164,5786935.0,2554.0,3.4,120.0
TPE,louisa,松江門市,台北市四平街55號,中山區中央里,121.533525,25.053708,14986.753326120555,-1.4515914528251774,1610149.0,3224.0,3.7,476.0
TPE,louisa,華山門市,台北市紹興南街4-1號,中正區幸福里,121.524772,25.043631,19973.064994366418,-1.4101797200920974,2460771.0,2883.0,3.7,170.0
TPE,louisa,敦南門市,台北市敦化南路二段81巷45弄21號,大安區義安里,121.550353,25.030539,30537.58209428585,-1.0389453219592355,3844691.0,2370.0,4.2,106.0
TPE,louisa,三民門市,台北市南京東路五段163-13號,松山區東光里,121.56258,25.051649,36900.13471537036,-1.952800883867874,3394181.0,9026.0,3.8,380.0
TPE,louisa,台大門市,台北市新生南路三段100號,大安區大學里,121.532938,25.016876,45612.20539650289,-0.2215433181810648,4643860.0,1541.0,3.6,233.0
TPE,louisa,六張犁門市,台北市基隆路二段190-1號,大安區虎嘯里,121.55194,25.024049,26169.627795738656,-1.6230082674922208,2281243.0,2872.0,3.4,251.0
TPE,louisa,南京光復門市,台北市南京東路五段23巷6弄1號,松山區東光里,121.558134,25.052212,36900.13471537036,-1.952800883867874,3394181.0,9026.0,3.7,499.0
TPE,louisa,南西門市,台北市中山北路一段140巷138號,中山區民安里,121.520449,25.051451,19806.234806991262,-1.4481974642719977,1982235.0,3818.0,3.5,894.0
TPE,louisa,樂群直營門市,台北市中山區樂群二路150號,中山區金泰里,121.557175,25.079698,7344.064101939221,0.1566459456922094,5937431.0,3264.0,3.2,139.0
TPE,louisa,龍江門市,台北市中山區龍江路393號,中山區行仁里,121.54105,25.065359,40912.81071875895,-1.970480633371973,2544143.0,1613.0,4.1,142.0
TPE,louisa,遼寧門市,台北市中山區遼寧街112號,中山區復華里,121.541998,25.05261,21224.91595284512,-0.4143777498369398,2723005.0,2451.0,3.8,376.0
TPE,louisa,榮星花園門市,台北市中山區民權東路三段16號,中山區江寧里,121.54009,25.062132,39849.56759481466,-1.395183501217382,3332532.0,2591.0,3.4,439.0
TPE,louisa,南京建國直營門市,台北市中山區南京東路二段206號,中山區朱園里,121.535844,25.051819,16690.778379273743,-0.5000985576377885,2769267.0,2226.0,3.7,476.0
