年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
110,11,277,中和區,內南里,39,1843,2511,2508,5019
110,11,278,板橋區,龍翠里,20,1999,2450,2555,5005
110,11,279,永和區,秀和里,21,2063,2342,2645,4987
110,11,280,淡水區,正德里,14,2168,2281,2693,4974
110,11,281,土城區,沛陂里,21,2001,2490,2472,4962
110,11,282,中和區,佳和里,40,2189,2336,2614,4950
110,11,283,樹林區,三興里,31,1819,2543,2404,4947
110,11,284,淡水區,新民里,12,2059,2343,2575,4918
110,11,285,新莊區,和平里,21,1782,2413,2502,4915
110,11,286,萬里區,萬里里,35,1492,2425,2483,4908
110,11,287,永和區,保平里,25,2002,2343,2559,4902
110,11,288,板橋區,長安里,19,1738,2375,2519,4894
110,11,289,永和區,和平里,24,2068,2315,2577,4892
110,11,290,永和區,豫溪里,17,2754,2511,2371,4882
110,11,291,新店區,中山里,26,2403,2213,2660,4873
110,11,292,中和區,景安里,44,2131,2359,2503,4862
110,11,293,汐止區,文化里,21,2064,2351,2510,4861
110,11,294,中和區,秀峰里,47,2412,2220,2621,4841
110,11,295,淡水區,學府里,18,2257,2279,2561,4840
110,11,296,板橋區,柏翠里,18,2192,2309,2529,4838
110,11,297,汐止區,智慧里,24,2244,2263,2572,4835
110,11,298,永和區,潭安里,20,2004,2319,2511,4830
110,11,299,永和區,永元里,21,1923,2263,2555,4818
110,11,300,中和區,秀福里,36,2008,2332,2481,4813
110,11,301,汐止區,東勢里,22,2426,2355,2455,4810
110,11,302,新莊區,四維里,22,1871,2294,2508,4802
110,11,303,新莊區,光正里,22,1619,2352,2445,4797
110,11,304,板橋區,埤墘里,17,1837,2273,2519,4792
110,11,305,板橋區,明翠里,22,1966,2328,2453,4781
110,11,306,永和區,民族里,22,1887,2263,2518,4781
110,11,307,新店區,吉祥里,24,1834,2255,2522,4777
110,11,308,汐止區,秀山里,26,1928,2362,2414,4776
110,11,309,汐止區,城中里,28,2041,2217,2556,4773
110,11,310,淡水區,沙崙里,8,2130,2348,2423,4771
110,11,311,汐止區,茄苳里,27,1795,2402,2366,4768
110,11,312,板橋區,港德里,29,1918,2332,2431,4763
110,11,313,五股區,興珍里,40,1695,2445,2318,4763
110,11,314,三重區,五常里,34,1750,2339,2413,4752
110,11,315,淡水區,民權里,17,2318,2185,2554,4739
110,11,316,板橋區,大豐里,22,1815,2284,2453,4737
110,11,317,土城區,日新里,27,1757,2337,2399,4736
110,11,318,土城區,貨饒里,22,1965,2314,2419,4733
110,11,319,三重區,福隆里,19,1843,2293,2434,4727
110,11,320,三重區,幸福里,36,1916,2308,2419,4727
110,11,321,新莊區,合鳳里,25,1730,2355,2369,4724
110,11,322,中和區,安穗里,19,1894,2272,2449,4721
110,11,323,中和區,壽德里,31,1859,2262,2451,4713
110,11,324,新莊區,光榮里,20,1570,2305,2407,4712
110,11,325,永和區,民樂里,22,1933,2291,2417,4708
110,11,326,板橋區,東丘里,20,1678,2286,2420,4706
110,11,327,汐止區,橫科里,42,2153,2318,2377,4695
110,11,328,中和區,忠孝里,39,1852,2307,2385,4692
110,11,329,樹林區,金寮里,24,1642,2308,2368,4676
110,11,330,永和區,潭墘里,25,1946,2127,2539,4666
110,11,331,五股區,德泰里,22,1764,2261,2401,4662
110,11,332,蘆洲區,永德里　,20,1586,2284,2372,4656
110,11,333,新莊區,中和里,30,1702,2275,2376,4651
110,11,334,永和區,民權里,26,1738,2205,2430,4635
110,11,335,新莊區,全安里,22,1817,2190,2440,4630
110,11,336,永和區,下溪里,15,1983,2214,2415,4629
110,11,337,三重區,博愛里,22,1655,2235,2394,4629
110,11,338,樹林區,圳福里,27,1621,2293,2330,4623
110,11,339,新莊區,恆安里,24,1686,2236,2369,4605
110,11,340,中和區,德穗里,32,1835,2203,2400,4603
110,11,341,泰山區,楓樹里,28,1753,2307,2295,4602
110,11,342,中和區,明穗里,33,1677,2313,2287,4600
110,11,343,汐止區,白雲里,26,1907,2293,2295,4588
110,11,344,板橋區,香社里,21,1798,2258,2313,4571
110,11,345,新莊區,中泰里,22,1771,2249,2321,4570
110,11,346,鶯歌區,鳳祥里,33,1662,2315,2244,4559
110,11,347,土城區,復興里,34,1712,2243,2303,4546
110,11,348,中和區,秀山里,31,1835,2179,2365,4544
110,11,349,鶯歌區,北鶯里,20,1997,2297,2232,4529
110,11,350,新莊區,昌隆里,15,1707,2130,2395,4525
110,11,351,土城區,永豐里,27,1656,2229,2295,4524
110,11,352,板橋區,莊敬里,17,1705,2137,2383,4520
110,11,353,板橋區,新民里,26,1734,2197,2314,4511
110,11,354,鶯歌區,鳳福里,29,1967,2216,2294,4510
110,11,355,土城區,員信里,25,1654,2218,2288,4506
110,11,356,土城區,延壽里,27,1721,2269,2214,4483
110,11,357,中和區,和興里,42,1943,2105,2371,4476
110,11,358,五股區,五股里,28,1959,2379,2097,4476
110,11,359,土城區,延吉里,22,1598,2238,2226,4464
110,11,360,八里區,埤頭里,28,1795,2228,2229,4457
110,11,361,中和區,廟美里,40,1777,2180,2276,4456
110,11,362,中和區,嘉慶里,24,1698,2172,2280,4452
110,11,363,新莊區,幸福里,30,1675,2115,2334,4449
110,11,364,三重區,光田里,27,1969,2140,2308,4448
110,11,365,金山區,美田里,25,1471,2099,2346,4445
110,11,366,板橋區,信義里,21,1777,2176,2268,4444
110,11,367,板橋區,堂春里,19,1532,2186,2252,4438
110,11,368,中和區,福美里,35,1720,2164,2274,4438
110,11,369,三重區,仁華里,27,1732,2142,2293,4435
110,11,370,林口區,菁湖里,23,1628,2194,2209,4403
110,11,371,板橋區,雙玉里,18,1601,2111,2274,4385
110,11,372,三重區,民生里,28,1767,2151,2231,4382
110,11,373,板橋區,振興里,17,1689,2133,2248,4381
110,11,374,五股區,集賢里,22,1578,2185,2190,4375
110,11,375,新店區,中華里,21,1988,2057,2305,4362
110,11,376,板橋區,忠誠里,17,1760,2083,2279,4362
110,11,377,新莊區,思賢里,21,1604,2156,2204,4360
110,11,378,板橋區,新生里,24,1594,2161,2192,4353
110,11,379,板橋區,漢生里,22,1695,2095,2247,4342
110,11,380,中和區,信和里,41,1652,2151,2188,4339
110,11,381,板橋區,僑中里,16,1565,2173,2165,4338
110,11,382,中和區,錦中里,22,1618,2115,2213,4328
110,11,383,永和區,得和里,25,1831,2022,2303,4325
110,11,384,板橋區,和平里,16,1749,2011,2308,4319
110,11,385,蘆洲區,延平里　,17,1585,2157,2161,4318
110,11,386,中和區,中安里,40,2102,1990,2325,4315
110,11,387,土城區,延祿里,21,1575,2138,2162,4300
110,11,388,淡水區,新義里,14,1561,2081,2210,4291
110,11,389,樹林區,樹南里,29,1575,2139,2144,4283
110,11,390,三重區,福德里,20,1812,2026,2257,4283
110,11,391,中和區,崇南里,41,1906,2048,2233,4281
110,11,392,中和區,安順里,34,1953,2018,2259,4277
110,11,393,林口區,麗園里,19,1561,2082,2193,4275
110,11,394,泰山區,同榮里,30,1533,2100,2172,4272
110,11,395,蘆洲區,中路里　,17,1549,2122,2149,4271
110,11,396,三重區,永安里,20,1544,2077,2194,4271
110,11,397,新店區,新和里,23,1783,2029,2239,4268
110,11,398,三峽區,大埔里,22,1517,2286,1980,4266
110,11,399,中和區,福善里,42,1863,1995,2261,4256
110,11,400,三峽區,八張里,20,1554,2094,2140,4234
110,11,401,中和區,東南里,32,1772,2037,2197,4234
110,11,402,板橋區,華興里,18,1696,2033,2194,4227
110,11,403,板橋區,振義里,19,1648,2076,2151,4227
110,11,404,永和區,永安里,24,1830,1944,2273,4217
110,11,405,蘆洲區,信義里　,27,1477,2103,2113,4216
110,11,406,中和區,福南里,29,1578,2034,2159,4193
110,11,407,板橋區,五權里,19,1581,2101,2089,4190
